                            0.491008E+01                              0.177363E-02
                            0.245504E+01                              0.214390E+02
                            0.818347E+00                              0.887934E+02
                            0.204587E+02                             -0.645524E-27
                            0.409174E+01                              0.458826E-01
                            0.681956E+00                             -0.144233E+03
                            0.974223E+01                             -0.137374E-10
                            0.121778E+01                              0.537296E+03
                            0.135309E+00                             -0.364278E+02
                            0.135309E+01                              0.471886E+03
                            0.123008E+00                             -0.720328E+02
                            0.102507E+01                              0.468853E+03
                            0.788513E-01                              0.202411E+02
                            0.563223E+00                             -0.588362E+02
                            0.375482E+01                              0.170626E+00
                            0.234676E+00                             -0.137774E+03
                            0.138045E+01                              0.453353E+03
                            0.766916E-01                              0.609460E+01
                            0.403640E+00                              0.188804E+03
                            0.201820E+01                              0.913290E+02
                            0.961048E-01                              0.160511E+02
                            0.436840E+00                              0.201012E+03
                            0.189930E+01                              0.131088E+03
                            0.791377E-01                              0.218892E+02
                            0.316551E+00                             -0.106212E+03
                            0.121750E+01                              0.537363E+03
                            0.450927E-01                             -0.476469E+02
                            0.161045E+00                              0.816675E+02
                            0.555329E+00                             -0.418154E+02
                            0.185110E+01                              0.150923E+03
                            0.597128E-01                             -0.588838E+02
                            0.186602E+00                              0.885537E+02
                            0.565462E+00                             -0.634677E+02
                            0.166312E+01                              0.251352E+03
                            0.475178E-01                              0.760061E+02
